rank_pnl,rsi_length,N,floor_pct,factor_caida,factor_subida,rsi_buy_trigger,rsi_sell_trigger,guardia_compra,guardia_prec_compra,guardia_prec_venta,pnl_pct,portfolio_final,usdt_final,btc_posiciones,precio_prom_fin,total_trades,total_compras,total_ventas,positions_count,pnl_por_trade,max_drawdown,div_compra_det,div_compra_apr,tasa_apr_compra,div_venta_det,div_venta_apr,tasa_apr_venta,btc_value,pnl_norm,btc_norm,equilibrio_score
0,21,24,25,5.0,0.5,17.5,87.5,True,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
1,21,24,25,5.0,0.5,17.5,87.5,True,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
2,21,24,25,5.0,0.5,17.5,87.5,True,False,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
3,21,24,25,5.0,1.0,17.5,87.5,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
4,21,24,25,5.0,0.5,17.5,87.5,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
5,21,24,25,5.0,0.5,17.5,87.5,False,True,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
6,21,24,25,5.0,0.5,17.5,90.0,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
7,21,24,25,5.0,1.0,17.5,87.5,False,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
8,21,24,25,5.0,1.0,17.5,90.0,True,False,True,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
9,21,24,25,5.0,0.5,17.5,87.5,False,True,False,177.9316,2779.32,0.0,0.05372133,18614.58,2,2,0,2,88.9658,21.74,235,6,2.6,263,0,0.0,2776.259240937,0.0,0.0,0.0
