tipo,datetime,precio,pos_en_racha,precio_inicio,pct_vs_inicio,racha_id
BUY,2021-11-16 03:00:00,60422.2,1,60422.2,0.0,1
BUY,2021-11-16 06:00:00,60293.06,2,60422.2,-0.2137,1
BUY,2021-11-16 09:00:00,60200.0,3,60422.2,-0.3677,1
BUY,2021-11-18 22:00:00,56525.0,4,60422.2,-6.4499,1
SELL,2021-11-19 23:00:00,58120.0,1,58120.0,0.0,2
SELL,2021-11-20 12:00:00,58834.98,2,58120.0,1.2302,2
SELL,2021-11-20 21:00:00,59650.0,3,58120.0,2.6325,2
BUY,2021-11-22 18:00:00,56404.66,1,56404.66,0.0,3
SELL,2021-11-25 12:00:00,58712.0,1,58712.0,0.0,4
SELL,2021-11-25 23:00:00,59398.9,2,58712.0,1.1699,4
BUY,2021-11-26 10:00:00,54304.6,1,54304.6,0.0,5
BUY,2021-11-26 18:00:00,53927.44,2,54304.6,-0.6945,5
BUY,2021-11-26 22:00:00,53800.0,3,54304.6,-0.9292,5
SELL,2021-11-27 16:00:00,55224.44,1,55224.44,0.0,6
BUY,2021-12-02 16:00:00,56001.0,1,56001.0,0.0,7
BUY,2021-12-04 11:00:00,46131.71,2,56001.0,-17.6234,7
SELL,2021-12-07 12:00:00,51542.0,1,51542.0,0.0,8
SELL,2021-12-07 15:00:00,51936.33,2,51542.0,0.7651,8
SELL,2021-12-11 08:00:00,48900.0,3,51542.0,-5.1259,8
BUY,2021-12-13 19:00:00,45672.75,1,45672.75,0.0,9
SELL,2021-12-15 00:00:00,48761.0,1,48761.0,0.0,10
SELL,2021-12-15 07:00:00,48450.0,2,48761.0,-0.6378,10
SELL,2021-12-16 07:00:00,49072.3,3,48761.0,0.6384,10
BUY,2021-12-18 02:00:00,45500.0,1,45500.0,0.0,11
SELL,2021-12-21 08:00:00,49000.0,1,49000.0,0.0,12
SELL,2021-12-21 12:00:00,49328.96,2,49000.0,0.6713,12
SELL,2021-12-22 02:00:00,49576.13,3,49000.0,1.1758,12
SELL,2021-12-24 01:00:00,51375.0,4,49000.0,4.8469,12
SELL,2021-12-24 08:00:00,51198.0,5,49000.0,4.4857,12
BUY,2021-12-28 10:00:00,48755.32,1,48755.32,0.0,13
BUY,2021-12-28 16:00:00,48124.0,2,48755.32,-1.2949,13
BUY,2022-01-06 09:00:00,42430.58,3,48755.32,-12.9724,13
SELL,2022-01-12 20:00:00,43993.66,1,43993.66,0.0,14
BUY,2022-01-13 19:00:00,42535.0,1,42535.0,0.0,15
SELL,2022-01-14 19:00:00,43408.0,1,43408.0,0.0,16
SELL,2022-01-14 21:00:00,43448.78,2,43408.0,0.0939,16
BUY,2022-01-17 21:00:00,41609.78,1,41609.78,0.0,17
BUY,2022-01-18 13:00:00,41400.0,2,41609.78,-0.5042,17
BUY,2022-01-21 12:00:00,37710.0,3,41609.78,-9.3723,17
BUY,2022-01-21 18:00:00,37850.0,4,41609.78,-9.0358,17
BUY,2022-01-22 09:00:00,34664.0,5,41609.78,-16.6927,17
BUY,2022-01-22 16:00:00,34520.59,6,41609.78,-17.0373,17
SELL,2022-01-26 02:00:00,37047.83,1,37047.83,0.0,18
SELL,2022-01-26 09:00:00,37975.57,2,37047.83,2.5042,18
SELL,2022-01-26 13:00:00,38275.0,3,37047.83,3.3124,18
SELL,2022-01-29 07:00:00,37925.0,4,37047.83,2.3677,18
BUY,2022-01-31 11:00:00,36880.0,1,36880.0,0.0,19
BUY,2022-02-02 21:00:00,36586.95,2,36880.0,-0.7946,19
BUY,2022-02-03 12:00:00,36250.0,3,36880.0,-1.7082,19
BUY,2022-02-03 19:00:00,36449.43,4,36880.0,-1.1675,19
SELL,2022-02-04 10:00:00,38236.08,1,38236.08,0.0,20
SELL,2022-02-04 18:00:00,40662.01,2,38236.08,6.3446,20
SELL,2022-02-04 23:00:00,41772.33,3,38236.08,9.2485,20
SELL,2022-02-05 06:00:00,41748.18,4,38236.08,9.1853,20
SELL,2022-02-05 14:00:00,41755.3,5,38236.08,9.2039,20
SELL,2022-02-06 20:00:00,41748.03,6,38236.08,9.1849,20
SELL,2022-02-07 02:00:00,42695.0,7,38236.08,11.6616,20
SELL,2022-02-07 05:00:00,43000.0,8,38236.08,12.4592,20
SELL,2022-02-07 12:00:00,42790.6,9,38236.08,11.9116,20
SELL,2022-02-08 04:00:00,44363.34,10,38236.08,16.0248,20
SELL,2022-02-10 15:00:00,45669.71,11,38236.08,19.4414,20
BUY,2022-02-11 06:00:00,42814.23,1,42814.23,0.0,21
BUY,2022-02-11 22:00:00,42000.0,2,42814.23,-1.9018,21
BUY,2022-02-12 14:00:00,41800.13,3,42814.23,-2.3686,21
SELL,2022-02-15 14:00:00,44500.0,1,44500.0,0.0,22
BUY,2022-02-17 08:00:00,43330.0,1,43330.0,0.0,23
BUY,2022-02-18 22:00:00,39711.31,2,43330.0,-8.3515,23
BUY,2022-02-20 21:00:00,38048.49,3,43330.0,-12.189,23
SELL,2022-02-25 11:00:00,38876.91,1,38876.91,0.0,24
SELL,2022-02-25 22:00:00,39491.0,2,38876.91,1.5796,24
SELL,2022-03-01 11:00:00,43887.0,3,38876.91,12.8871,24
SELL,2022-03-01 20:00:00,44102.61,4,38876.91,13.4417,24
SELL,2022-03-01 23:00:00,44506.65,5,38876.91,14.4809,24
SELL,2022-03-02 12:00:00,44350.0,6,38876.91,14.078,24
BUY,2022-03-04 00:00:00,41509.94,1,41509.94,0.0,25
BUY,2022-03-05 04:00:00,38407.59,2,41509.94,-7.4738,25
BUY,2022-03-05 10:00:00,38784.69,3,41509.94,-6.5653,25
BUY,2022-03-06 09:00:00,38623.93,4,41509.94,-6.9526,25
