tipo,longitud,datetime_inicio,datetime_fin
BUY,4,2021-11-16T03:00:00.000000000,2021-11-19T23:00:00.000000000
SELL,3,2021-11-19T23:00:00.000000000,2021-11-22T18:00:00.000000000
BUY,1,2021-11-22T18:00:00.000000000,2021-11-25T12:00:00.000000000
SELL,2,2021-11-25T12:00:00.000000000,2021-11-26T10:00:00.000000000
BUY,3,2021-11-26T10:00:00.000000000,2021-11-27T16:00:00.000000000
SELL,1,2021-11-27T16:00:00.000000000,2021-12-02T16:00:00.000000000
BUY,2,2021-12-02T16:00:00.000000000,2021-12-07T12:00:00.000000000
SELL,3,2021-12-07T12:00:00.000000000,2021-12-13T19:00:00.000000000
BUY,1,2021-12-13T19:00:00.000000000,2021-12-15T00:00:00.000000000
SELL,3,2021-12-15T00:00:00.000000000,2021-12-18T02:00:00.000000000
BUY,1,2021-12-18T02:00:00.000000000,2021-12-21T08:00:00.000000000
SELL,5,2021-12-21T08:00:00.000000000,2021-12-28T10:00:00.000000000
BUY,3,2021-12-28T10:00:00.000000000,2022-01-12T20:00:00.000000000
SELL,1,2022-01-12T20:00:00.000000000,2022-01-13T19:00:00.000000000
BUY,1,2022-01-13T19:00:00.000000000,2022-01-14T19:00:00.000000000
SELL,2,2022-01-14T19:00:00.000000000,2022-01-17T21:00:00.000000000
BUY,6,2022-01-17T21:00:00.000000000,2022-01-26T02:00:00.000000000
SELL,4,2022-01-26T02:00:00.000000000,2022-01-31T11:00:00.000000000
BUY,4,2022-01-31T11:00:00.000000000,2022-02-04T10:00:00.000000000
SELL,11,2022-02-04T10:00:00.000000000,2022-02-11T06:00:00.000000000
BUY,3,2022-02-11T06:00:00.000000000,2022-02-15T14:00:00.000000000
SELL,1,2022-02-15T14:00:00.000000000,2022-02-17T08:00:00.000000000
BUY,3,2022-02-17T08:00:00.000000000,2022-02-25T11:00:00.000000000
SELL,6,2022-02-25T11:00:00.000000000,2022-03-04T00:00:00.000000000
BUY,4,2022-03-04T00:00:00.000000000,2022-03-09T08:00:00.000000000
