rank,rsi_length,N,pnl_pct,portfolio_final,total_trades,total_compras,total_ventas,max_racha_compras,max_racha_ventas,avg_racha_compras,avg_racha_ventas,positions_count_final,usdt_balance_final,btc_balance_final,btc_en_posiciones
1,9,6,-9.2709,907.2907,274,149,125,7,7,2.92,2.5,24,601.1052,0.0,0.01929763
2,15,5,-10.2489,897.5105,215,112,103,7,7,3.11,2.94,9,272.1876,0.0,0.03941157
3,16,5,-10.8259,891.7406,210,107,103,7,7,3.06,3.03,4,547.5337,0.0,0.02169396
4,17,5,-11.4326,885.6738,209,111,98,7,7,3.17,2.88,13,544.7549,0.0,0.02148674
5,13,5,-11.466,885.3405,226,119,107,7,7,2.98,2.74,12,590.2368,0.0,0.01859919
6,21,8,-11.6332,883.668,205,111,94,7,7,3.17,2.76,17,592.113,0.0,0.01837553
7,15,6,-11.724,882.7602,212,109,103,7,7,3.41,3.32,6,260.4732,0.0,0.03922023
8,13,8,-11.8094,881.9063,242,129,113,7,7,3.23,2.9,16,588.2035,0.0,0.0185109
9,20,8,-12.6362,873.6381,210,114,96,7,7,3.26,2.82,18,549.6367,0.0,0.0204205
10,12,8,-12.6576,873.4244,257,136,121,7,7,3.24,2.95,15,530.9786,0.0,0.02158298
11,14,5,-12.703,872.9697,224,118,106,7,7,3.03,2.79,12,540.0083,0.0,0.02098521
12,14,8,-12.7273,872.7273,241,130,111,7,7,3.17,2.77,19,546.2139,0.0,0.02057882
13,8,6,-13.3657,866.3434,281,153,128,7,7,2.94,2.51,25,473.0894,0.0,0.0247852
14,16,6,-14.1936,858.0641,209,106,103,7,7,3.42,3.43,3,460.3762,0.0,0.02506466
15,10,6,-14.8315,851.6851,265,144,121,7,7,3.06,2.63,23,369.1973,0.0,0.03040926
16,19,5,-15.8244,841.7555,194,102,92,7,7,3.09,2.88,10,283.5521,0.0,0.0351813
17,20,5,-15.8346,841.6544,197,103,94,7,7,3.12,2.94,9,283.491,0.0,0.03517878
18,13,7,-15.8975,841.0249,230,124,106,7,7,3.18,2.79,18,464.132,0.0,0.02375403
19,9,5,-15.9322,840.6779,265,143,122,7,7,2.86,2.49,21,234.5906,0.0,0.03819923
20,15,7,-15.96,840.3996,222,121,101,7,7,3.27,2.81,20,418.6085,0.0,0.02658379
21,16,7,-16.1832,838.1679,217,116,101,7,7,3.22,2.89,15,471.7094,0.0,0.02309639
22,14,7,-16.3182,836.8178,230,126,104,7,7,3.23,2.74,22,453.968,0.0,0.02412948
23,20,7,-16.4415,835.5849,198,109,89,7,7,3.41,2.87,20,503.4915,0.0,0.0209305
24,18,7,-16.5754,834.2463,206,114,92,7,7,3.26,2.71,22,462.3281,0.0,0.0234405
25,10,8,-16.6638,833.3621,282,151,131,7,7,3.28,2.91,20,395.5248,0.0,0.02759511
26,17,7,-16.7515,832.4846,215,119,96,7,7,3.31,2.74,23,460.4673,0.0,0.02344674
27,8,5,-16.8436,831.564,271,146,125,7,7,2.81,2.45,21,230.1567,0.0,0.03790427
28,9,8,-16.8915,831.0849,295,159,136,7,7,3.06,2.67,23,391.7913,0.0,0.0276869
29,13,6,-17.1671,828.3287,227,120,107,7,7,3.33,3.06,13,259.2705,0.0,0.03586544
30,19,7,-17.229,827.7105,199,110,89,7,7,3.44,2.87,21,457.1706,0.0,0.02335363
31,15,8,-17.2997,827.0029,235,126,109,7,7,3.15,2.79,17,237.9193,0.0,0.03712756
32,16,8,-17.6242,823.7579,231,123,108,7,7,3.24,2.92,15,231.3114,0.0,0.0373395
33,10,5,-17.7109,822.8908,254,137,117,7,7,3.04,2.66,20,224.2961,0.0,0.037727
34,21,11,-17.8804,821.1963,222,119,103,7,7,3.4,3.03,16,442.255,0.0,0.02388314
35,18,8,-17.9827,820.1727,222,122,100,7,7,3.3,2.78,22,229.3032,0.0,0.03724011
36,12,6,-18.0114,819.8858,238,128,110,7,7,3.2,2.82,18,236.0695,0.0,0.03679558
37,14,6,-18.0229,819.7712,223,118,105,7,7,3.47,3.18,13,237.7911,0.0,0.03667985
38,17,8,-18.0307,819.6933,229,126,103,7,7,3.32,2.78,23,229.0391,0.0,0.03722654
39,12,5,-18.0854,819.1457,237,126,111,7,7,3.0,2.71,15,262.5267,0.0,0.03508145
40,19,8,-18.2977,817.0226,215,118,97,7,7,3.37,2.85,21,228.2288,0.0,0.03710929
41,21,5,-18.3383,816.6168,189,98,91,7,7,3.16,3.03,7,271.6537,0.0,0.03434682
42,11,5,-18.3839,816.1609,250,134,116,7,7,3.05,2.7,18,199.8957,0.0,0.0388407
43,20,6,-18.9316,810.6836,200,109,91,7,7,3.3,2.84,18,264.5821,0.0,0.03441857
44,19,6,-18.935,810.6501,202,110,92,7,7,3.33,2.88,18,264.3831,0.0,0.034429
45,7,5,-18.9458,810.5417,284,153,131,7,7,2.55,2.22,22,90.9205,0.0,0.04535481
46,20,11,-18.9478,810.5218,228,122,106,7,7,3.39,3.03,16,403.1535,0.0,0.02567477
47,18,6,-19.0958,809.0416,205,110,95,7,7,3.44,3.06,15,262.6842,0.0,0.03443469
48,17,6,-19.1367,808.6334,209,111,98,7,7,3.36,3.06,13,262.612,0.0,0.03441352
49,7,6,-19.3033,806.9672,300,164,136,7,7,2.83,2.39,28,298.0504,0.0,0.03207497
50,13,9,-19.3728,806.2719,255,137,118,7,7,3.19,2.81,19,354.5744,0.0,0.02846866
51,18,5,-19.5083,804.9172,199,104,95,7,7,3.15,2.97,9,281.8629,0.0,0.03296599
52,11,6,-19.8066,801.9343,261,141,120,7,7,3.28,2.86,21,119.2352,0.0,0.04302776
53,8,7,-20.237,797.6297,284,156,128,7,7,3.0,2.51,28,333.4367,0.0,0.0292562
54,11,8,-20.274,797.2601,270,144,126,7,7,3.43,3.07,18,186.5127,0.0,0.03849294
55,12,7,-20.4223,795.7773,242,132,110,7,7,3.22,2.75,22,213.119,0.0,0.0367226
56,8,8,-20.6225,793.7753,306,164,142,7,7,3.04,2.68,22,280.6713,0.0,0.03233887
57,21,7,-20.6278,793.7216,191,105,86,7,7,3.39,2.87,19,225.0813,0.0,0.03583909
58,21,6,-20.8911,791.0891,192,104,88,7,7,3.25,2.84,16,187.8661,0.0,0.0380187
59,11,7,-21.4026,785.9738,254,138,116,7,7,3.29,2.83,22,189.2445,0.0,0.03760943
60,10,7,-21.7966,782.034,262,144,118,7,7,3.2,2.68,26,173.9155,0.0,0.03832725
61,21,9,-21.8499,781.5012,213,118,95,7,7,3.28,2.71,23,179.9861,0.0,0.03791106
62,12,9,-21.8549,781.4507,269,144,125,7,7,3.2,2.84,19,167.1503,0.0,0.03871687
63,9,7,-21.8906,781.0941,277,153,124,7,7,2.94,2.43,29,169.6728,0.0,0.03853541
64,18,9,-21.9145,780.8551,230,127,103,7,7,3.17,2.64,24,170.0856,0.0,0.03849433
65,20,9,-22.0146,779.8541,219,121,98,7,7,3.36,2.8,23,176.7113,0.0,0.03801365
66,17,9,-22.1187,778.8129,235,129,106,7,7,3.23,2.72,23,169.1857,0.0,0.03842233
67,16,9,-22.1187,778.8129,239,128,111,7,7,3.28,2.92,17,169.1857,0.0,0.03842233
68,19,9,-22.1955,778.0453,221,123,98,7,7,3.32,2.72,25,169.3002,0.0,0.03836674
69,21,10,-22.2488,777.5124,222,121,101,7,7,3.36,2.89,20,157.5166,0.0,0.03907583
70,20,10,-23.0918,769.0818,230,125,105,7,7,3.38,2.92,20,134.6673,0.0,0.03998458
71,15,9,-23.119,768.8098,244,131,113,7,7,3.12,2.76,18,149.5038,0.0,0.03903235
72,21,12,-23.4474,765.5256,225,123,102,7,7,3.32,2.83,21,95.2102,0.0,0.04224727
73,20,13,-23.4536,765.4638,231,125,106,7,7,3.38,2.94,19,179.7248,0.0,0.03691676
74,14,9,-23.564,764.3604,253,137,116,7,7,3.11,2.7,21,162.6638,0.0,0.0379225
75,19,13,-23.7029,762.9707,235,126,109,7,7,3.23,2.87,17,176.6095,0.0,0.03695597
76,18,13,-23.7414,762.5859,245,132,113,7,7,3.14,2.76,19,176.2465,0.0,0.0369546
77,21,14,-23.9757,760.2432,225,121,104,7,7,3.46,3.06,17,183.7008,0.0,0.03633713
78,20,14,-24.1081,758.9192,228,123,105,7,7,3.42,3.0,18,180.6011,0.0,0.03644905
79,7,9,-24.1637,758.3631,346,186,160,7,7,2.86,2.5,26,50.8362,0.0,0.04459256
80,18,10,-24.2302,757.6978,242,131,111,7,7,3.2,2.77,20,65.6626,0.0,0.04361618
81,18,14,-24.3887,756.113,244,132,112,7,7,3.3,2.87,20,162.0157,0.0,0.03744355
82,18,15,-24.4234,755.7662,252,136,116,7,7,3.24,2.83,20,150.3474,0.0,0.0381571
83,16,10,-24.4295,755.7051,253,132,121,7,7,3.3,3.1,11,65.3152,0.0,0.04351248
84,17,10,-24.4295,755.7051,248,133,115,7,7,3.24,2.88,18,65.3152,0.0,0.04351248
85,19,14,-24.4496,755.5043,232,125,107,7,7,3.38,2.97,18,176.9108,0.0,0.03646641
86,15,15,-24.4934,755.0656,267,141,126,7,7,3.2,2.93,15,166.4147,0.0,0.03710028
87,19,11,-24.4946,755.054,234,126,108,7,7,3.41,3.0,18,159.1012,0.0,0.0375605
88,19,10,-24.4983,755.017,234,128,106,7,7,3.37,2.86,22,65.359,0.0,0.04346636
89,14,15,-24.5254,754.746,275,145,130,7,7,3.09,2.83,15,185.1849,0.0,0.03589713
90,16,14,-24.5304,754.6957,257,134,123,7,7,3.27,3.08,11,169.9913,0.0,0.03685155
91,18,11,-24.5307,754.6932,245,132,113,7,7,3.14,2.76,19,158.7966,0.0,0.03755695
92,13,15,-24.5314,754.6858,277,146,131,7,7,3.17,2.91,15,185.1514,0.0,0.03589544
93,13,10,-24.5375,754.6254,270,143,127,7,7,3.11,2.82,16,64.5992,0.0,0.04348956
