rank,floor_pct,factor_caida,factor_subida,portfolio_final,pnl_pct,btc_acumulado,btc_value,btc_ratio,bear_score,usdt_final,min_usdt,sobrevivio,total_compras,total_ventas,precio_prom_final
1,25,5.0,0.5,1249.55,24.955,0.07875413,1249.55,1.0,0.098407,0.0,0.0,False,39,137,16764.2
2,25,4.5,0.5,1193.38,19.338,0.0752138,1193.38,1.0,0.089759,0.0,0.0,False,39,133,16764.98
3,20,4.0,0.5,1194.5,19.45,0.07248052,1150.01,0.9628,0.086578,44.49,44.49,True,42,141,16360.41
4,20,4.5,0.5,1187.54,18.754,0.0714696,1133.97,0.9549,0.084873,53.57,53.57,True,42,146,16331.39
5,20,3.5,0.5,1170.28,17.028,0.0715378,1135.05,0.9699,0.083719,35.22,32.99,True,42,134,16391.87
6,20,5.0,0.5,1183.34,18.334,0.07057493,1119.78,0.9463,0.083514,63.57,63.57,True,42,146,16304.4
7,15,3.0,0.5,1149.59,14.959,0.06283857,997.03,0.8673,0.072239,152.56,108.37,True,42,139,16245.52
8,15,3.5,0.5,1143.57,14.357,0.05953554,944.62,0.826,0.068083,198.95,188.11,True,42,145,16205.67
9,15,4.0,0.5,1132.34,13.234,0.05571455,883.99,0.7807,0.063088,248.35,248.35,True,42,146,16171.39
10,10,2.5,0.5,1122.57,12.257,0.05272263,836.52,0.7452,0.059185,286.05,179.02,True,42,135,16174.99
11,20,5.0,1.0,971.37,-2.863,0.06085341,965.53,0.994,0.059111,5.84,5.84,True,42,141,17611.27
12,15,4.5,0.5,1120.87,12.087,0.05173791,820.9,0.7324,0.057991,299.97,299.97,True,42,146,16141.72
13,15,4.5,1.0,1017.51,1.751,0.05529994,877.42,0.8623,0.056268,140.09,140.09,True,42,145,16869.63
14,15,5.0,1.0,1042.01,4.201,0.05288765,839.14,0.8053,0.055109,202.87,202.87,True,42,146,16593.77
15,15,5.0,0.5,1102.97,10.297,0.04743146,752.57,0.6823,0.052316,350.4,350.4,True,42,148,16115.92
16,15,4.0,1.0,932.07,-6.793,0.05472705,868.33,0.9316,0.051009,63.74,63.74,True,42,132,17973.69
17,10,3.0,0.5,1108.58,10.858,0.04596158,729.25,0.6578,0.050952,379.33,312.13,True,42,143,16132.78
18,10,3.5,1.0,958.15,-4.185,0.04647086,737.33,0.7695,0.044526,220.82,220.82,True,42,128,17621.05
19,15,5.0,1.5,877.36,-12.264,0.04997901,792.99,0.9038,0.04385,84.37,84.37,True,42,126,18744.05
20,20,4.5,1.0,828.1,-17.19,0.05212201,826.99,0.9987,0.043162,1.11,1.11,True,42,119,19786.04
21,10,3.5,0.5,1092.27,9.227,0.03923308,622.49,0.5699,0.042853,469.78,448.38,True,42,145,16099.67
22,15,4.5,1.5,831.25,-16.875,0.04962069,787.31,0.9471,0.041247,43.95,43.95,True,42,119,19625.67
23,10,4.0,1.0,1014.28,1.428,0.04005045,635.46,0.6265,0.040622,378.82,378.82,True,42,145,16733.18
24,10,3.0,1.0,837.68,-16.232,0.04825024,765.56,0.9139,0.040418,72.12,72.12,True,42,105,19760.79
25,15,5.0,2.0,831.21,-16.879,0.04851436,769.75,0.9261,0.040325,61.46,61.46,True,42,121,19524.86
26,15,5.0,2.5,816.97,-18.303,0.04797771,761.24,0.9318,0.039196,55.73,55.73,True,42,113,19776.94
27,15,3.5,1.0,793.92,-20.608,0.04921135,780.81,0.9835,0.03907,13.11,13.11,True,42,103,20564.89
28,15,2.5,0.5,787.44,-21.256,0.0494473,784.55,0.9963,0.038937,2.88,2.88,True,42,90,20845.59
29,15,5.0,3.0,811.12,-18.888,0.04771651,757.09,0.9334,0.038704,54.03,54.03,True,42,107,19882.43
30,15,4.5,2.0,794.01,-20.599,0.04801745,761.87,0.9595,0.038126,32.15,32.15,True,42,111,20349.84
31,10,4.0,1.5,883.49,-11.651,0.04303084,682.75,0.7728,0.038017,200.74,200.74,True,42,120,18904.75
32,10,3.5,1.5,827.75,-17.225,0.04568011,724.78,0.8756,0.037812,102.97,102.97,True,42,101,19958.93
33,15,4.0,1.5,778.72,-22.128,0.04792214,760.36,0.9764,0.037318,18.36,18.36,True,42,108,20822.02
34,15,4.5,2.5,781.61,-21.839,0.04741767,752.35,0.9626,0.037062,29.26,29.26,True,42,101,20599.75
35,10,4.0,2.0,851.28,-14.872,0.04303704,682.85,0.8021,0.036637,168.44,168.44,True,42,104,19491.9
36,10,2.0,0.5,765.82,-23.418,0.04769472,756.75,0.9882,0.036526,9.07,9.07,True,42,86,21483.1
37,15,4.5,3.0,775.23,-22.477,0.04707069,746.85,0.9634,0.036491,28.39,28.39,True,42,95,20726.8
38,20,5.0,1.5,757.63,-24.237,0.04771344,757.04,0.9992,0.036149,0.58,0.58,False,42,113,21288.64
39,10,3.5,2.0,801.14,-19.886,0.04505172,714.81,0.8922,0.036093,86.33,86.33,True,42,91,20505.37
40,10,4.0,2.5,839.89,-16.011,0.04286534,680.12,0.8098,0.036002,159.77,159.77,True,42,100,19708.51
41,10,4.0,3.0,834.03,-16.597,0.0426814,677.2,0.812,0.035598,156.83,156.83,True,42,92,19824.02
42,10,4.5,1.5,924.79,-7.521,0.03840135,609.29,0.6588,0.035513,315.5,315.5,True,42,127,18199.42
43,10,4.0,0.5,1076.28,7.628,0.03296574,523.05,0.486,0.03548,553.23,553.23,True,42,146,16073.35
44,10,3.5,2.5,789.04,-21.096,0.04457001,707.17,0.8962,0.035167,81.87,81.87,True,42,83,20762.07
45,15,4.0,2.0,753.14,-24.686,0.04659291,739.27,0.9816,0.035091,13.87,13.87,True,42,94,21418.52
46,10,4.5,2.0,891.39,-10.861,0.03918758,621.77,0.6975,0.034932,269.62,269.62,True,42,120,18791.44
47,10,3.0,1.5,762.01,-23.799,0.04562107,723.85,0.9499,0.034764,38.17,38.17,True,42,84,21492.86
48,10,4.5,2.5,880.44,-11.956,0.03929478,623.47,0.7081,0.034597,256.97,256.97,True,42,106,18989.03
49,10,3.5,3.0,780.88,-21.912,0.04417212,700.86,0.8975,0.034493,80.02,80.02,True,42,76,20934.64
50,10,4.5,1.0,1026.29,2.629,0.03359758,533.08,0.5194,0.034481,493.22,493.22,True,42,146,16475.94
51,10,4.5,3.0,875.81,-12.419,0.03925856,622.9,0.7112,0.034383,252.91,252.91,True,42,102,19077.14
52,15,4.0,2.5,741.94,-25.806,0.04595393,729.13,0.9827,0.034095,12.81,12.81,True,42,91,21675.45
53,20,5.0,2.0,729.36,-27.064,0.04594674,729.01,0.9995,0.033512,0.35,0.35,False,42,109,21983.44
54,15,4.0,3.0,733.95,-26.605,0.04547367,721.51,0.9831,0.033375,12.44,12.44,True,42,82,21850.31
55,10,3.0,2.0,742.36,-25.764,0.04470675,709.34,0.9555,0.033189,33.02,33.02,True,42,73,21985.65
56,20,3.0,0.5,724.57,-27.543,0.04566499,724.54,1.0,0.033087,0.03,0.03,False,42,91,22532.25
57,20,4.0,1.0,723.36,-27.664,0.04558249,723.23,0.9998,0.032972,0.12,0.12,False,42,100,22390.41
58,15,3.5,1.5,725.7,-27.43,0.0453822,720.06,0.9922,0.032934,5.65,5.65,True,42,90,22336.24
59,20,5.0,2.5,719.7,-28.03,0.04534143,719.41,0.9996,0.032632,0.29,0.29,False,42,103,22220.24
60,25,4.0,0.5,718.6,-28.14,0.04529057,718.6,1.0,0.032546,0.0,0.0,False,38,94,22615.66
61,10,2.5,1.0,723.6,-27.64,0.04479996,710.82,0.9823,0.032417,12.79,12.79,True,42,77,22675.21
62,20,4.5,1.5,716.79,-28.321,0.04516558,716.62,0.9998,0.032374,0.17,0.17,False,42,104,22482.48
63,20,5.0,3.0,713.73,-28.627,0.04496573,713.45,0.9996,0.032093,0.28,0.28,False,42,98,22355.45
64,10,3.0,2.5,726.76,-27.324,0.04382647,695.37,0.9568,0.031851,31.39,31.39,True,42,65,22361.82
65,10,5.0,2.0,921.92,-7.808,0.034321,544.55,0.5907,0.031641,377.37,377.37,True,42,127,18294.9
66,15,3.5,2.0,710.52,-28.948,0.04448846,705.88,0.9935,0.03161,4.64,4.64,True,42,82,22768.37
67,10,5.0,2.5,911.8,-8.82,0.03464686,549.72,0.6029,0.031591,362.07,362.07,True,42,121,18480.33
68,10,5.0,3.0,907.95,-9.205,0.03471049,550.73,0.6066,0.031516,357.22,357.22,True,42,116,18553.82
69,10,5.0,1.5,952.51,-4.749,0.03296752,523.08,0.5492,0.031402,429.43,429.43,True,42,133,17728.31
70,20,4.5,2.0,700.96,-29.904,0.04417139,700.84,0.9998,0.030962,0.11,0.11,False,42,96,22948.19
71,15,3.0,1.0,701.67,-29.833,0.04409737,699.67,0.9972,0.030942,2.0,2.0,True,42,87,23221.62
72,10,3.0,3.0,714.33,-28.567,0.04311061,684.01,0.9576,0.030795,30.32,30.32,True,42,63,22660.17
73,15,3.5,2.5,697.6,-30.24,0.04369012,693.21,0.9937,0.030478,4.39,4.39,True,42,70,23094.57
74,10,2.5,1.5,697.19,-30.281,0.04338003,688.29,0.9872,0.030244,8.9,8.9,True,42,61,23526.72
75,20,4.5,2.5,692.47,-30.753,0.0436371,692.37,0.9999,0.030217,0.1,0.1,False,42,86,23170.54
76,20,4.5,3.0,684.84,-31.516,0.04315624,684.74,0.9999,0.029555,0.1,0.1,False,42,82,23353.13
77,15,3.5,3.0,686.08,-31.392,0.04297375,681.84,0.9938,0.029483,4.23,4.23,True,42,67,23377.65
78,20,4.0,1.5,681.79,-31.821,0.04296828,681.76,0.9999,0.029295,0.04,0.04,False,42,91,23749.23
79,15,3.0,1.5,680.58,-31.942,0.04281792,679.37,0.9982,0.029141,1.21,1.21,True,42,73,24011.96
80,25,5.0,1.0,679.65,-32.035,0.04283547,679.65,1.0,0.029113,0.0,0.0,False,38,97,23717.08
81,10,4.5,0.5,1056.83,5.683,0.02724351,432.26,0.409,0.028792,624.57,624.57,True,42,150,16052.13
82,20,4.0,2.0,673.54,-32.646,0.04244861,673.51,1.0,0.028591,0.03,0.03,False,42,81,24032.97
83,10,5.0,1.0,1026.09,2.609,0.02781906,441.39,0.4302,0.028545,584.7,584.7,True,42,148,16365.78
84,10,2.5,2.0,674.55,-32.545,0.04199596,666.33,0.9878,0.028328,8.22,8.22,True,42,50,24190.74
85,15,3.0,2.0,666.17,-33.383,0.04191439,665.03,0.9983,0.027922,1.13,1.13,True,42,63,24460.7
86,20,3.5,1.0,664.52,-33.548,0.04188151,664.51,1.0,0.027831,0.01,0.01,False,42,88,24475.0
87,20,4.0,2.5,662.86,-33.714,0.04177551,662.83,1.0,0.027691,0.03,0.03,False,42,75,24323.69
88,10,2.0,1.0,658.13,-34.187,0.04139475,656.79,0.998,0.027243,1.34,1.34,True,42,58,25215.16
89,25,5.0,1.5,655.67,-34.433,0.041324,655.67,1.0,0.027095,0.0,0.0,False,38,94,24616.97
90,20,3.5,1.5,655.46,-34.454,0.04131063,655.45,1.0,0.027078,0.01,0.01,False,42,79,24950.51
91,15,2.5,1.0,654.5,-34.55,0.04123726,654.29,0.9997,0.02699,0.21,0.21,False,42,69,25255.22
92,20,4.0,3.0,651.89,-34.811,0.04108427,651.86,1.0,0.026782,0.03,0.03,False,42,69,24609.59
93,25,5.0,2.0,651.4,-34.86,0.04105533,651.4,1.0,0.026744,0.0,0.0,False,38,93,24793.28
94,25,4.5,1.0,648.78,-35.122,0.04088985,648.78,1.0,0.026528,0.0,0.0,False,39,93,24944.95
95,20,3.5,2.0,645.53,-35.447,0.04068474,645.52,1.0,0.026263,0.01,0.01,False,42,71,25297.67
96,25,3.5,0.5,645.4,-35.46,0.04067718,645.4,1.0,0.026253,0.0,0.0,False,38,88,25281.04
