pct_caida_ath,pct_caida,pct_venta,floor_pct,pendiente,last_op_on_sell,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,max_drawdown,btc_libre_usd,btc_total_usd,pnl_norm,btcl_norm,btct_norm,combo_score
0.4,0.02,0.05,30,96,True,73.5526,1735.53,1000.0,0.01159051,0.0,0.01159051,0,153,153,306,62.51,735.5256512430001,735.5256512430001,1.0,1.0,0.45038141025641026,0.8900762820512821
0.4,0.02,0.06,30,96,True,73.2108,1732.11,1000.0,0.01153666,0.0,0.01153666,0,140,140,280,62.88,732.1083679380001,732.1083679380001,0.9951584756422316,0.9951576005438595,0.4331217948717951,0.8827508769586326
0.4,0.02,0.05,30,91,True,73.1069,1731.07,1000.0,0.01152028,-0.0,0.01152028,0,166,166,332,62.44,731.0689046040001,731.0689046040001,0.9936867542239396,0.9936846478402089,0.4278717948717951,0.8805231304383915
0.4,0.02,0.06,30,91,True,73.0815,1730.81,1000.0,0.01151628,0.0,0.01151628,0,147,147,294,62.81,730.815067404,730.815067404,0.9933269686221629,0.9933249524302821,0.42658974358974366,0.8799789187581148
0.4,0.02,0.06,30,86,True,72.8929,1728.93,1000.0,0.01148656,-0.0,0.01148656,0,158,158,316,62.74,728.929057008,728.929057008,0.9906554897050325,0.9906524155345253,0.41706410256410253,0.8759362900256943
0.4,0.02,0.06,25,96,True,72.768,1727.68,1000.0,0.01146688,0.0,0.01146688,0,165,165,330,62.69,727.680177984,727.680177984,0.9888863077498385,0.9888827141176851,0.4107564102564104,0.873259250161507
0.4,0.02,0.06,30,81,True,72.6387,1726.39,1000.0,0.0114465,0.0,0.0114465,0,170,170,340,62.65,726.38687745,726.38687745,0.9870548007297699,0.9870500660041077,0.40422435897435904,0.870487291960989
0.4,0.02,0.05,30,86,True,72.6089,1726.09,1000.0,0.01144181,0.0,0.01144181,0,179,179,358,62.36,726.089253333,726.089253333,0.9866326900631184,0.9866283231359685,0.4027211538461539,0.8698490727415805
0.4,0.02,0.06,25,91,True,72.519,1725.19,1000.0,0.01142764,0.0,0.01142764,0,173,173,346,62.61,725.190035052,725.190035052,0.9853592756694279,0.9853541021463025,0.398179487179487,0.8679217659145021
0.4,0.02,0.05,25,96,True,72.3236,1723.24,1000.0,0.01139684,0.0,0.01139684,0,190,190,380,62.32,723.235488612,723.235488612,0.9825914761974911,0.9825844474898656,0.38830769230769235,0.8637326108072436
0.4,0.025,0.05,30,96,True,72.3118,1723.12,1000.0,0.01139499,-0.0,0.01139499,0,158,158,316,62.23,723.1180889070001,723.1180889070001,0.9824243317053272,0.9824180883627744,0.38771474358974384,0.8634805410794447
0.4,0.02,0.06,30,76,True,72.3109,1723.11,1000.0,0.01139485,-0.0,0.01139485,0,184,184,368,62.55,723.1092046050001,723.1092046050001,0.9824115833966028,0.9824054990234269,0.3876698717948717,0.8634614157643038
0.4,0.02,0.06,25,86,True,72.2116,1722.12,1000.0,0.01137921,-0.0,0.01137921,0,186,186,372,62.52,722.1167011530001,722.1167011530001,0.98100502000068,0.9809990899706129,0.3826570512820515,0.8613336472479342
